City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Asyut,0,EG,40,27.18,31.19,68.0,2.24
Soyo,24,AO,97,-6.13,12.37,75.07,2.64
El Tigre,36,VE,31,8.89,-64.25,93.07,7.56
Impfondo,64,CD,75,1.62,18.06,78.49,3.87
Saint George,40,GR,81,39.45,22.34,44.6,2.98
Staritsa,64,RU,78,56.51,34.93,4.6,10.8
Busselton,20,AU,100,-33.64,115.35,61.35,14.5
Hualmay,20,PE,61,-11.1,-77.61,75.25,4.21
Jamestown,88,AU,73,-33.21,138.6,60.49,6.22
Russell,20,AR,23,-33.01,-68.8,87.8,8.05
Qena,0,EG,30,26.16,32.72,69.8,3.2
Abaza,56,RU,61,52.65,90.1,8.07,12.82
Puerto Montt,0,CL,59,-41.47,-72.94,66.2,12.75
Mugur-Aksy,44,RU,66,50.38,90.44,15.81,8.79
Rikitea,80,PF,98,-23.12,-134.97,81.33,19.08
Pevek,88,RU,86,69.7,170.27,26.29,23.11
Fortuna,0,ES,45,38.18,-1.13,66.2,16.11
Puerto Ayora,20,EC,66,-0.74,-90.35,84.2,10.29
Bluff,88,AU,95,-23.58,149.07,74.8,4.21
Hermanus,32,ZA,80,-34.42,19.24,62.52,7.78
Laguna,5,MX,30,27.52,-110.01,71.6,6.93
Mataura,88,NZ,98,-46.19,168.86,63.1,4.43
Port Elizabeth,90,US,76,39.31,-74.98,55.4,5.82
Ushuaia,75,AR,66,-54.81,-68.31,53.6,13.87
Okha,64,RU,80,53.59,142.95,3.97,13.04
Puerto Escondido,5,MX,70,15.86,-97.07,84.2,11.14
Grindavik,0,IS,80,63.84,-22.43,32.0,9.17
Port Blair,32,IN,99,11.67,92.75,83.58,8.79
Kapuskasing,20,CA,49,49.42,-82.43,26.6,5.82
Chuy,0,UY,81,-33.69,-53.46,76.2,8.23
Vaini,0,IN,85,15.34,74.49,61.26,1.41
Beringovskiy,44,RU,85,63.05,179.32,30.97,18.52
Norman Wells,20,CA,69,65.28,-126.83,-13.01,4.7
Labuhan,92,ID,96,-2.54,115.51,72.6,1.97
Yellowknife,90,CA,59,62.45,-114.38,-0.41,12.75
Sumy,64,UA,82,50.91,34.8,16.12,18.3
Verkh-Usugli,48,RU,68,52.7,115.17,-7.28,2.53
Rawson,0,AR,21,-43.3,-65.11,82.32,6.33
Qaanaaq,80,GL,93,77.48,-69.36,13.56,8.46
Mar del Plata,0,AR,29,-46.43,-67.52,77.91,8.9
New Norfolk,8,AU,89,-42.78,147.06,44.7,4.21
Butaritari,56,KI,100,3.07,172.79,82.54,11.81
Taga,75,JP,91,35.21,136.34,42.8,21.92
Ancud,32,CL,77,-41.87,-73.83,64.5,2.98
